"","Mask1.RESP.Trial.","Mask2.RESP.Trial.","Mask3.RESP.Trial.","Mask4.RESP.Trial.","Mask5.RESP.Trial.","Mask6.RESP.Trial.","Mask7.RESP.Trial.","Mask8.RESP.Trial.","Mask9.RESP.Trial.","Mask10.RESP.Trial.","Mask11.RESP.Trial.","Mask12.RESP.Trial.","Mask13.RESP.Trial.","Mask14.RESP.Trial.","Mask15.RESP.Trial.","Mask16.RESP.Trial.","Mask17.RESP.Trial.","Mask18.RESP.Trial.","Mask1.RT.Trial.","Mask2.RT.Trial.","Mask3.RT.Trial.","Mask4.RT.Trial.","Mask5.RT.Trial.","Mask6.RT.Trial.","Mask7.RT.Trial.","Mask8.RT.Trial.","Mask9.RT.Trial.","Mask10.RT.Trial.","Mask11.RT.Trial.","Mask12.RT.Trial.","Mask13.RT.Trial.","Mask14.RT.Trial.","Mask15.RT.Trial.","Mask16.RT.Trial.","Mask17.RT.Trial.","Mask18.RT.Trial."
"1",0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","{SPACE}","0",0,0,"0",0,0,0,0,0,0,0,0,413,0,53,67,0,151,0,0,0,0,0,0,0,0,0,0
"2",0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","0","0",0,0,"0",0,0,0,0,0,0,0,0,26,93,0,173,0,0,0,0,0,0,0,0,0,0,0,0
"3",0,"0","{SPACE}","{SPACE}","0","{SPACE}","0","0","0",0,0,"0",0,0,0,0,0,0,0,0,86,93,0,173,0,0,0,0,0,0,0,0,0,0,0,0
"4",0,"0","{SPACE}","0","{SPACE}","{SPACE}","0","{SPACE}","0",0,0,"0",0,0,0,0,0,0,0,0,182,0,61,76,0,151,0,0,0,0,0,0,0,0,0,0
"5",0,"0","0","0","0","0","0","{SPACE}","0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0,0,0,0,0,0,0,0
"6",0,"0","0","0","0","{SPACE}","0","0","0",0,0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,319,0,0,0,0,0,94,0,0,0,0,0,0
"7",0,"0","0","0","{SPACE}","0","0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,0,405,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0,"{SPACE}","0","0","0","0","0","0","0",0,0,"0",0,0,0,0,0,0,0,430,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",0,"0","0","0","{SPACE}","0","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,422,0,52,0,0,0,0,94,0,0,0,0,0,0
"10",0,"0","0","0","0","{SPACE}","0","0","0",0,0,"0",0,0,0,0,0,0,0,0,0,0,0,173,0,0,0,0,0,0,0,0,0,0,0,0
"11",0,"0","{SPACE}","{SPACE}","{SPACE}","0","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,0,0,0,0,0,72,62,45,0,52,0,0,0,0,94,0,0,0,0,0,0
"12",0,"0","0","0","0","0","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,94,0,0,0,0,0,0
"13",0,"{SPACE}","{SPACE}","0","0","0","{SPACE}","0","0",0,0,"{SPACE}",0,0,0,0,0,0,0,385,74,0,0,0,93,0,0,0,0,94,0,0,0,0,0,0
